ID,label,Usage
1,frog,Public
2,truck,Public
3,truck,Public
4,deer,Public
5,automobile,Public
6,automobile,Public
10,cat,Public
11,deer,Public
12,horse,Public
13,horse,Public
14,bird,Public
15,truck,Public
16,truck,Public
17,truck,Public
18,cat,Public
20,frog,Public
21,deer,Public
22,cat,Public
23,frog,Public
27,cat,Public
28,dog,Public
30,airplane,Public
31,airplane,Public
32,truck,Public
33,automobile,Public
34,cat,Public
35,deer,Public
36,airplane,Public
37,cat,Public
39,cat,Public
41,dog,Public
43,bird,Public
44,horse,Public
46,automobile,Public
47,automobile,Public
48,bird,Public
50,airplane,Public
51,truck,Public
52,dog,Public
53,horse,Public
55,bird,Public
57,dog,Public
58,bird,Public
59,deer,Public
60,cat,Public
61,automobile,Public
63,ship,Public
64,bird,Public
66,automobile,Public
67,deer,Public
68,truck,Public
69,horse,Public
70,ship,Public
72,truck,Public
73,frog,Public
74,horse,Public
75,cat,Public
77,truck,Public
78,airplane,Public
79,cat,Public
82,dog,Public
83,deer,Public
85,horse,Public
86,horse,Public
87,deer,Public
88,horse,Public
90,deer,Public
91,bird,Public
92,cat,Public
93,ship,Public
94,airplane,Public
95,automobile,Public
96,frog,Public
97,automobile,Public
98,automobile,Public
101,ship,Public
104,frog,Public
106,automobile,Public
107,ship,Public
109,bird,Public
111,truck,Public
112,ship,Public
113,automobile,Public
114,horse,Public
115,horse,Public
116,airplane,Public
117,airplane,Public
119,truck,Public
120,automobile,Public
121,bird,Public
122,bird,Public
123,truck,Public
124,bird,Public
125,frog,Public
127,automobile,Public
129,dog,Public
130,airplane,Public
133,frog,Public
135,automobile,Public
138,automobile,Public
139,bird,Public
140,ship,Public
141,automobile,Public
145,bird,Public
148,truck,Public
149,dog,Public
150,deer,Public
151,cat,Public
152,frog,Public
154,deer,Public
155,frog,Public
156,ship,Public
157,dog,Public
158,dog,Public
160,cat,Public
161,automobile,Public
162,ship,Public
163,deer,Public
164,horse,Public
165,frog,Public
167,truck,Public
169,automobile,Public
170,cat,Public
171,ship,Public
172,bird,Public
173,horse,Public
174,dog,Public
176,deer,Public
177,automobile,Public
178,dog,Public
179,horse,Public
180,airplane,Public
181,deer,Public
182,horse,Public
183,dog,Public
185,automobile,Public
186,airplane,Public
189,truck,Public
190,airplane,Public
191,ship,Public
192,horse,Public
194,ship,Public
196,dog,Public
197,bird,Public
198,cat,Public
200,airplane,Public
201,frog,Public
202,automobile,Public
203,truck,Public
204,cat,Public
205,frog,Public
206,truck,Public
207,automobile,Public
208,cat,Public
210,frog,Public
